"state","seasonal_mean_temp_fall","seasonal_mean_temp_spring","seasonal_mean_temp_summer","seasonal_mean_temp_winter","seasonal_sd_temp_fall","seasonal_sd_temp_spring","seasonal_sd_temp_summer","seasonal_sd_temp_winter"
"Alabama",20.510989010989,18.7191836734694,27.3579514824798,10.5987517337032,5.63052629470255,3.99539414406762,1.57033459779525,4.01238534062135
"Arizona",25.1581043956044,22.3527891156463,34.4923180592992,12.7797503467406,6.62756588349117,5.41489787625228,2.75558214226555,2.6237728123059
"Arkansas",18.5107142857143,16.372380952381,27.027358490566,6.68627450980392,6.31265464590158,4.52159664404153,1.98168300033027,4.23847416547974
"California",18.3784340659341,15.3186394557823,24.872102425876,8.91040221914009,5.45938658668556,4.29462814934747,2.23871351894879,1.91860188417895
"Colorado",11.5337912087912,7.69034013605442,22.4411051212938,-1.89195561719834,7.787368936312,5.59591564976932,3.01621835894623,3.83000969572133
"Connecticut",13.0656593406593,8.94108843537415,22.2995956873315,0.0547850208044378,5.93070697270401,5.37591096848923,2.53624950376987,3.33877572737262
"Florida",21.5328296703297,20.0759183673469,26.7858490566038,12.8309292649098,4.42106378066135,3.48185773095027,1.24276330130207,3.5605729117845
"Georgia",17.8773351648352,16.1802721088435,25.1040431266846,7.83398058252427,5.50442501193492,4.1629030845853,1.70665621358214,3.79743027015403
"Illinois",14.3311813186813,11.5805442176871,24.072371967655,-0.122746185852981,6.95913907470444,5.94048753602408,2.01451609515539,4.58333072293273
"Indiana",14.1239010989011,11.0553741496599,23.5142857142857,0.317891816920943,6.83013214666497,5.74376793363927,2.06114878287585,4.50982597068898
"Iowa",13.1563186813187,9.83809523809524,23.9164420485175,-3.52565880721221,7.47096853305954,6.55167769646899,2.12339350348966,5.49254045384721
"Kansas",15.3439667128987,12.6446428571429,25.578167115903,0.45506241331484,7.18706924573701,5.82489981426679,2.27086264078705,4.53990373482044
"Kentucky",15.0473901098901,12.4674829931973,23.7322102425876,2.86712898751734,6.44649505175031,5.23411609838659,1.94061501409427,4.29490696408408
"Louisiana",21.7254120879121,20.1538775510204,27.7180592991914,12.5997226074896,5.00083288356522,3.68622018055839,1.60701608193776,4.09646778843271
"Maryland",15.3850274725275,12.1299319727891,24.2144204851752,2.9253814147018,5.97648664589177,5.17034872909112,2.17227471455673,3.25611311799978
"Massachusetts",13.0050824175824,8.33755102040816,22.0490566037736,0.0441054091539528,5.84063636612999,5.41042305354212,2.80342981582148,3.25410081220955
"Michigan",11.8542582417582,7.95210884353741,21.8235849056604,-2.35880721220527,6.71010563652241,6.1098560841901,2.27042509169503,4.23437943405643
"Minnesota",10.4593406593407,6.32272108843538,21.9316711590296,-7.50124826629681,7.82615292355346,7.27189885330136,2.19592696973998,5.38055020935654
"Mississippi",19.7857142857143,18.0296598639456,26.8894878706199,9.87073509015257,5.68249032366193,4.04149478814442,1.54653039916972,4.38348348754245
"Missouri",15.5491758241758,12.7138775510204,25.0353099730458,1.71608876560333,6.81740881246528,5.41937822539212,2.09081773127447,4.47674739351426
"Nebraska",13.905657708628,10.7009803921569,24.7425655976676,-2.0187675070028,7.35057267773366,6.4148094908119,2.26469995661822,5.05887462672835
"Nevada",13.3287267080745,8.70796992481203,22.9209415584416,1.74766763848397,6.94741969928247,5.38761574868208,3.35135682002576,2.86060610712782
"New Jersey",14.9998626373626,11.0963265306122,24.028167115903,2.2502080443828,5.92682359650553,5.22549113184221,2.35719147139905,3.27202290790799
"New Mexico",11.5759316770186,9.37450076804915,21.5470899470899,-0.368571428571429,6.74048262255489,5.12631217623615,2.48364286068075,3.14158761316952
"New York",12.1953296703297,8.29809523809524,21.9539083557951,-1.48543689320388,6.24061441267624,5.93249872127838,2.45227986029182,3.66472427392999
"North Carolina",17.3865384615385,15.8899319727891,25.3702156334232,7.06421636615811,5.46029486380499,4.57137702744358,2.02038697514785,3.67444909144158
"Ohio",13.848489010989,10.783537414966,23.055795148248,0.576837725381415,6.67590660661803,5.62691927171467,2.09537741803505,4.25586952762815
"Oklahoma",18.1679945054945,15.7179591836735,27.4983827493261,5.06726768377254,6.79418406958175,4.87907702099598,2.56900817362091,4.38749707424432
"Oregon",12.4994505494505,9.41374149659864,19.4715633423181,4.9123439667129,4.95041989283967,3.63016422805406,3.15095277384863,2.48788826706235
"Pennsylvania",14.1256868131868,10.7590476190476,23.5156334231806,1.31622746185853,6.13254444471353,5.4002929112178,2.33877238761212,3.25567073749099
"South Carolina",19.0542582417582,17.9066666666667,26.5377358490566,9.2875173370319,5.40734604418471,4.20788957097842,1.90022369782238,3.59688389414306
"Tennessee",17.0855769230769,14.8586394557823,25.4176549865229,5.64368932038835,6.20083164085351,4.80278075677858,1.77287580982766,4.33783148748039
"Texas",22.343956043956,20.5625850340136,29.2427223719677,11.7615811373093,5.65829528193375,3.7129939538153,2.16069446353579,4.03038481006364
"Utah",12.4782674772036,9.18854314002829,24.9422740524781,-0.0226551226551228,7.76101190629331,5.30660005676488,3.8258694652905,2.87325197033816
"Virginia",16.6370879120879,14.4201360544218,25.233423180593,5.25908460471567,5.81032386027893,4.96474252591795,2.16491853238539,3.51673985074897
"Washington",11.8526098901099,9.2712925170068,17.9800539083558,4.95866851595007,4.28048005119597,3.4298043200187,2.64821459502131,2.31336731147748
"West Virginia",14.9124826629681,12.4608163265306,23.1748626373626,3.30429958391123,6.05757314404083,5.09383458885045,2.06640549818991,4.1794179443491
"Wisconsin",11.4218406593407,7.54081632653061,21.9549865229111,-4.54632454923717,7.1142280511482,6.37887427402457,2.20835835359491,4.92268696982438
